nu_inscricao,nu_nota_comp1,nu_nota_comp2,nu_nota_comp3,nu_nota_comp4,nu_nota_comp5,nu_nota_redacao
210059980967,120.0,120.0,120.0,120.0,120.0,600.0
210058073302,160.0,120.0,140.0,160.0,100.0,680.0
210059855141,160.0,180.0,160.0,200.0,200.0,900.0
210058387352,160.0,180.0,140.0,160.0,160.0,800.0
210059085157,160.0,200.0,200.0,200.0,200.0,960.0
210060801620,160.0,180.0,140.0,140.0,180.0,800.0
210059540789,120.0,180.0,120.0,120.0,140.0,680.0
210061103966,120.0,120.0,120.0,120.0,100.0,580.0
210060214107,160.0,180.0,140.0,180.0,180.0,840.0
210059388112,180.0,200.0,180.0,160.0,200.0,920.0
210058073303,120.0,180.0,120.0,140.0,120.0,680.0
210059855142,160.0,200.0,200.0,180.0,200.0,940.0
210059085158,100.0,100.0,100.0,120.0,100.0,520.0
210059540790,100.0,140.0,100.0,80.0,120.0,540.0
210061103967,120.0,120.0,120.0,80.0,80.0,520.0
210059388113,160.0,200.0,180.0,180.0,200.0,920.0
210059980969,140.0,160.0,140.0,100.0,100.0,640.0
210058073304,160.0,200.0,160.0,160.0,200.0,880.0
210059855143,160.0,200.0,140.0,160.0,180.0,840.0
210058387354,140.0,200.0,160.0,160.0,140.0,800.0
210060801621,160.0,200.0,120.0,160.0,120.0,760.0
210059540791,120.0,180.0,120.0,120.0,100.0,640.0
210060214109,120.0,80.0,80.0,120.0,120.0,520.0
210058073305,140.0,200.0,140.0,160.0,120.0,760.0
210059868169,120.0,120.0,100.0,120.0,60.0,520.0
210058387355,100.0,40.0,40.0,100.0,60.0,340.0
210060811451,120.0,160.0,120.0,160.0,140.0,700.0
210059540792,120.0,160.0,120.0,120.0,120.0,640.0
210061337617,160.0,200.0,160.0,200.0,200.0,920.0
210059589796,120.0,120.0,120.0,120.0,80.0,560.0
210059974469,120.0,180.0,120.0,120.0,120.0,660.0
210060440994,120.0,180.0,120.0,140.0,140.0,700.0
210060376426,120.0,120.0,120.0,120.0,60.0,540.0
210058573836,140.0,180.0,140.0,180.0,140.0,780.0
210059246991,120.0,120.0,100.0,120.0,100.0,560.0
210059388106,120.0,120.0,100.0,120.0,140.0,600.0
210059980962,120.0,140.0,120.0,120.0,120.0,620.0
